全国地方公共団体コード,ID,地方公共団体名,介護サービス事業所名称,介護サービス事業所名称_カナ,介護サービス事業所名称_英字,実施サービス,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,画像,画像_ライセンス,備考
141305,1.41305E+11,神奈川県川崎市,みやうち地域包括支援センター,ミヤウチチイキホウカツシエンセンター,,地域包括支援センター,141330,,神奈川県川崎市中原区宮内1-25-1特別養護老人ホームみやうち内,神奈川県,川崎市,中原区宮内,,,35.594564,139.641308,,,(044)740-2814,,(044)740-2816,,,,"211-0051",,社会福祉法人　セイワ,,,,,https://www.city.kawasaki.jp/350/page/0000022165.html,,,併設特別養護老人ホーム;老人デイ・サービスセンター
141305,1.41305E+11,神奈川県川崎市,いだ地域包括支援センター,イダチイキホウカツシエンセンター,,地域包括支援センター,141330,,神奈川県川崎市中原区井田2-27-1,神奈川県,川崎市,中原区井田,,,35.560063,139.640682,,,(044)751-6661,,(044)751-6385,,,,"211-0035",,社会福祉法人　和楽会,,,,,https://www.city.kawasaki.jp/350/page/0000022160.html,,,併設老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,ひらまの里地域包括支援センター,ヒラマノサトチイキホウカツシエンセンター,,地域包括支援センター,141330,,神奈川県川崎市中原区上平間611-1特別養護老人ホームひらまの里内,神奈川県,川崎市,中原区上平間,,,35.557117,139.681454,,,(044)544-4012,,(044)544-3961,,,,"211-0013",,社会福祉法人　川崎市社会福祉事業団,,,,,https://www.city.kawasaki.jp/350/page/0000022155.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,すみよし地域包括支援センター,スミヨシチイキホウカツシエンセンター,,地域包括支援センター,141330,,神奈川県川崎市中原区木月祗園町2-1特別養護老人ホームすみよし内,神奈川県,川崎市,中原区木月祗園町,,,35.569011,139.64882,,,(044)455-0980,,(044)455-0883,,,,"211-0033",,社会福祉法人　セイワ,,,,,https://www.city.kawasaki.jp/350/page/0000022152.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,とどろき地域包括支援センター,トドロキチイキホウカツシエンセンター,,地域包括支援センター,141330,,神奈川県川崎市中原区今井南町8-5アイテック武蔵小杉101,神奈川県,川崎市,中原区今井南町,,,35.57413,139.65553,,,(044)281-3666,,(044)281-3616,,,,211-0064 ,,社会福祉法人　春日会,,,,,https://www.city.kawasaki.jp/350/page/0000022143.html,,,併設特別養護老人ホーム
141305,1.41305E+11,神奈川県川崎市,地域包括支援センターこだなか,チイキホウカツシエンセンターコダナカ,,地域包括支援センター ,141330,,神奈川県川崎市中原区上小田中3-21-20-101,神奈川県,川崎市,中原区上小田中,,,35.587078,139.633544,,,(044)798-2332,,(044)755-5656,,,,"211-0053",,社会福祉法人　中川徳生会,,,,,https://www.city.kawasaki.jp/350/page/0000022146.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,溝口地域包括支援センター,ミゾノクチチイキホウカツシエンセンター,,地域包括支援センター,141348,,神奈川県川崎市高津区溝口1-6-10川崎市生活文化会館てくのかわさき3階,神奈川県,川崎市,高津区溝口,,,35.598876,139.613763,,,(044)820-1133,,(044)822-0500,,,,"213-0001",,社会福祉法人　川崎市社会福祉協議会,,,,,https://www.city.kawasaki.jp/350/page/0000022168.html,,,
141305,1.41305E+11,神奈川県川崎市,リ・ケア向ヶ丘地域包括支援センター,リケアムコウガオカチイキホウカツシエンセンター,,地域包括支援センター,141348,,神奈川県川崎市高津区向ヶ丘130-9,神奈川県,川崎市,高津区向ヶ丘,,,35.593267,139.593507,,,(044)865-6238,,(044)865-6239,,,,"213-0035",,特定非営利活動法人　リ・ケア福祉サービス,,,,,https://www.city.kawasaki.jp/350/page/0000022186.html,,,
141305,1.41305E+11,神奈川県川崎市,わらく地域包括支援センター,ワラクチイキホウカツシエンセンター,,地域包括支援センター,141348,,神奈川県川崎市高津区千年141特別養護老人ホーム和楽館内,神奈川県,川崎市,高津区千年,,,35.574554,139.621045,,,(044)799-7951,,(044)799-7952,,,,"213-0022",,社会福祉法人　和楽会,,,,,https://www.city.kawasaki.jp/350/page/0000022189.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,すえなが地域包括支援センター,スエナガチイキホウカツシエンセンター,,地域包括支援センター,141348,,神奈川県川崎市高津区末長1-3-13特別養護老人ホームすえなが,神奈川県,川崎市,高津区末長,,,35.595322,139.60854,,,(044)861-5320,,(044)861-6194,,,,"213-0013",,社会福祉法人　セイワ,,,,,https://www.city.kawasaki.jp/350/page/0000022191.html,,,併設養護老人ホーム;特別養護老人ホーム;軽費老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,陽だまりの園地域包括支援センター,ヒダマリノエンチイキホウカツシエンセンター,,地域包括支援センター,141348,,神奈川県川崎市高津区諏訪2-10-15特別養護老人ホーム陽だまりの園内,神奈川県,川崎市,高津区諏訪,,,35.603521,139.628239,,,(044)814-5637,,(044)814-5636,,,,"213-0004",,社会福祉法人　照陽会,,,,,https://www.city.kawasaki.jp/350/page/0000022194.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,ひさすえ地域包括支援センター,ヒサスエチイキホウカツシエンセンター,,地域包括支援センター,141348,,神奈川県川崎市高津久松410エムアール久末1階,神奈川県,川崎市,高津久松,,,35.564394,139.61585,,,(044)797-6531,,(044)797-6540,,,,"213-0026",,社会福祉法人　和楽会,,,,,https://www.city.kawasaki.jp/350/page/0000022195.html,,,
141305,1.41305E+11,神奈川県川崎市,樹の丘地域包括支援センター,キノオカチイキホウカツシエンセンター,,地域包括支援センター,141348,,神奈川県川崎市高津区久地4-19-8,神奈川県,川崎市,高津区久地,,,35.6091,139.593514,,,(044)820-8401,,(044)820-8402,,,,"213-0032",,川崎医療生活協同組合,,,,,https://www.city.kawasaki.jp/350/page/0000022172.html,,,
141305,1.41305E+11,神奈川県川崎市,フレンド神木地域包括支援センター,フレンドシボクチイキホウカツシエンセンター,,地域包括支援センター,141364,,神奈川県川崎市宮前区神木本町5-12-15特別養護老人ホームフレンド神木内,神奈川県,川崎市,宮前区神木本町,,,35.599619,139.580296,,,(044)871-1180,,(044)877-2800,,,,"216-0031",,社会福祉法人　三神会,,,,,https://www.city.kawasaki.jp/350/page/0000022196.html,,,併設特別養護老人ホーム
141305,1.41305E+11,神奈川県川崎市,レストア川崎地域包括支援センター,レストアカワサキチイキホウカツシエンセンター,,地域包括支援センター,141364,,神奈川県川崎市宮前区犬蔵2-25-9,神奈川県,川崎市,宮前区犬蔵,,,35.586367,139.560134,,,(044)976-9590,,(044)976-9591,,,,"216-0011",,医療法人　三星会,,,,,https://www.city.kawasaki.jp/350/page/0000022212.html,,,介護老人保健施設
141305,1.41305E+11,神奈川県川崎市,鷲ヶ峯地域包括支援センター,ワシガミネチイキホウカツシエンセンター,,地域包括支援センター,141364,,神奈川県川崎市宮前区菅生ヶ丘13-1特別養護老人ホーム鷲ヶ峯内,神奈川県,川崎市,宮前区菅生ヶ丘,,,35.597209,139.545251,,,(044)978-2724,,(044)976-6470,,,,"216-0014",,社会福祉法人　セイワ,,,,,https://www.city.kawasaki.jp/350/page/0000022214.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,地域包括支援センタービオラ宮崎,チイキホウカツシエンセンタービオラミヤザキ,,地域包括支援センター,141364,,神奈川県川崎市宮前区宮崎2-8-32-102,神奈川県,川崎市,宮前区宮崎,,,35.588166,139.591647,,,(044)948-5371,,(044)948-5372,,,,"216-0033",,社会福祉法人　中川徳生会,,,,,https://www.city.kawasaki.jp/350/page/0000022202.html,,,
141305,1.41305E+11,神奈川県川崎市,宮前平地域包括支援センター,ミヤマエダイラチイキホウカツシエンセンター,,地域包括支援センター,141364,,神奈川県川崎市宮前区馬絹6-20-4,神奈川県,川崎市,宮前区馬絹,,,35.585045,139.595992,,,(044)872-7144,,(044)852-3377,,,,"216-0035",,医療法人　三星会,,,,,https://www.city.kawasaki.jp/350/page/0000022200.html,,,
141305,1.41305E+11,神奈川県川崎市,富士見プラザ地域包括支援センター,フジミプラザチイキホウカツシエンセンター,,地域包括支援センター,141364,,神奈川県川崎市宮前区南野川1-8-11特別養護老人ホーム富士見プラザ内,神奈川県,川崎市,宮前区南野川,,,35.572244,139.598746,,,(044)740-2883,,(044)777-3239,,,,"216-0001",,社会福祉法人　子の神福祉会,,,,,https://www.city.kawasaki.jp/350/page/0000022216.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,みかど荘地域包括支援センター,ミカドソウチイキホウカツシエンセンター,,地域包括支援センター,141364,,神奈川県川崎市宮前区西野川3-39-11,神奈川県,川崎市,宮前区西野川,,,35.57105,139.610407,,,(044)777-5716,,(044)777-1193,,,,"216-0001",,社会福祉法人　くぬぎざか福祉会,,,,,https://www.city.kawasaki.jp/350/page/0000022205.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,多摩川の里地域包括支援センター,タマガワノサトチイキホウカツシエンセンター,,地域包括支援センター,141356,,神奈川県川崎市多摩区中野島6-13-5特別養護老人ホーム多摩川の里内,神奈川県,川崎市,多摩区中野島,,,35.632304,139.551591,,,(044)935-5531,,(044)935-3511,,,,"214-0012",,社会福祉法人　川崎市社会福祉事業団,,,,,https://www.city.kawasaki.jp/350/page/0000022220.html,,,併設特別養護老人ホーム;老人デイサービスセンター;合築多摩川の里身体障害者福祉会館
141305,1.41305E+11,神奈川県川崎市,地域包括支援センター菅の里,チイキホウカツシエンセンタースゲノサト,,地域包括支援センター,141356,,神奈川県川崎市多摩区菅北浦3-10-20特別養護老人ホーム菅の里内,神奈川県,川崎市,多摩区菅北浦,,,35.63143,139.532069,,,(044)946-5514,,(044)946-3432,,,,"214-0008",,社会福祉法人　徳心会,,,,,https://www.city.kawasaki.jp/350/page/0000022222.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,太陽の園地域包括支援センター,タイヨウノエンチイキホウカツシエンセンター,,地域包括支援センター,141356,,神奈川県川崎市多摩区栗谷2-16-6特別養護老人ホーム太陽の園,神奈川県,川崎市,多摩区栗谷,,,35.607429,139.534175,,,(044)959-1234,,(044)959-1233,,,,"214-0039",,社会福祉法人　照陽会,,,,,https://www.city.kawasaki.jp/350/page/0000022226.html,,,併設特別養護老人ホーム
141305,1.41305E+11,神奈川県川崎市,しゅくがわら地域包括支援センター,シュクガワラチイキホウカツシエンセンター,,地域包括支援センター,141356,,神奈川県川崎市多摩区宿河原6-20-19特別養護老人ホームしゅくがわら内,神奈川県,川崎市,多摩区宿河原,,,35.611352,139.584954,,,(044)930-5151,,(044)930-5911,,,,"214-0021",,社会福祉法人　鈴保福祉会,,,,,https://www.city.kawasaki.jp/350/page/0000022230.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,よみうりランド花ハウス地域包括支援センター,ヨミウリランドハナハウスチイキホウカツシエンセンター,,地域包括支援センター,141356,,神奈川県川崎市多摩区菅仙谷4-1-4特別養護老人ホームよみうりランド花ハウス内,神奈川県,川崎市,多摩区菅仙谷,,,35.621882,139.519956,,,(044)969-3116,,(044)969-3160,,,,"214-0006",,社会福祉法人　読売光と愛の事業団,,,,,https://www.city.kawasaki.jp/350/page/0000022224.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,登戸地域包括支援センター,ノボリトチイキホウカツシエンセンター,,地域包括支援センター,141356,,神奈川県川崎市多摩区登戸1891第3井出ビル3階,神奈川県,川崎市,多摩区登戸,,,35.618495,139.562647,,,(044)933-7055,,(044)933-7077,,,,"214-0014",,社会福祉法人　川崎市社会福祉協議会,,,,,https://www.city.kawasaki.jp/350/page/0000021780.html,,,
141305,1.41305E+11,神奈川県川崎市,長沢壮寿の里地域包括支援センター,ナガサワソウコトブキノサトチイキホウカツシエンセンター,,地域包括支援センター,141356,,神奈川県川崎市多摩区三田1-18-1パート81階,神奈川県,川崎市,多摩区三田,,,35.600199,139.5463,,,(044)935-0086,,(044)935-0093,,,,214-0034,,社会福祉法人　白山福祉会,,,,,https://www.city.kawasaki.jp/350/page/0000022218.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,百合丘地域包括支援センター,ユリガオカチイキホウカツシエンセンター,,地域包括支援センター,141372,,神奈川県川崎市麻生区東百合丘3-17-4るーむら麻生2階,神奈川県,川崎市,麻生区東百合丘,,,35.59564,139.523851,,,(044)959-6522,,(044)712-0202,,,,"215-0012",,生活クラブ生活協同組合,,,,,https://www.city.kawasaki.jp/350/page/0000022238.html,,,老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,柿生アルナ園地域包括支援センター,カキオアルナエンチイキホウカツシエンセンター,,地域包括支援センター,141372,,神奈川県川崎市麻生区上麻生5-19-10特別養護老人ホーム柿生アルナ園内,神奈川県,川崎市,麻生区上麻生,,,35.590908,139.500887,,,(044)989-5403,,(044)988-9774,,,,"215-0021",,社会福祉法人　鈴保福祉会,,,,,https://www.city.kawasaki.jp/350/page/0000022245.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,地域包括支援センター虹の里,チイキホウカツシエンセンターニジノサト,,地域包括支援センター,141372,,神奈川県川崎市麻生区王禅寺963-26特別養護老人ホーム虹の里内,神奈川県,川崎市,麻生区王禅寺,,,35.58404,139.523069,,,(044)986-4088,,(044)986-1027,,,,"215-0013",,社会福祉法人　慈正会,,,,,https://www.city.kawasaki.jp/350/page/0000022249.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,新百合地域包括支援センター,シンユリガオカチイキホウカツシエンセンター,,地域包括支援センター,141372,,神奈川県川崎市麻生区上麻生3-14-20つくしの里内,神奈川県,川崎市,麻生区上麻生,,,35.598698,139.50198,,,(044)969-3388,,(044)969-0200,,,,"215-0021",,医療法人　れいめい会,,,,,https://www.city.kawasaki.jp/350/page/0000022241.html,,,併設介護老人保健施設
141305,1.41305E+11,神奈川県川崎市,片平地域包括支援センター,カタヒラチイキホウカツシエンセンター,,地域包括支援センター,141372,,神奈川県川崎市麻生区白鳥1-9-20,神奈川県,川崎市,麻生区白鳥,,,35.600361,139.48873,,,(044)986-4986,,(044)380-7970,,,,215-0024,,社会福祉法人　一廣会,,,,,https://www.city.kawasaki.jp/350/page/0000022236.html,,,
141305,1.41305E+11,神奈川県川崎市,栗木台地域包括支援センター,クリキダイチイキホウカツシエンセンター,,地域包括支援センター,141372,,神奈川県川崎市麻生区栗平2-1-6小田急マルシェ栗平1F,神奈川県,川崎市,麻生区栗平,,,35.60639,139.480886,,,(044)987-6505,,(044)380-7970,,,,"215-0031",,社会福祉法人　一廣会,,,,,https://www.city.kawasaki.jp/350/page/0000022234.html,,, 
141305,1.41305E+11,神奈川県川崎市,高石地域包括支援センター,タカイシチイキホウカツシエンセンター,,地域包括支援センター,141372,,神奈川県川崎市麻生区千代ヶ丘1-2-9,神奈川県,川崎市,麻生区千代ヶ丘,,,35.611816,139.509849,,,(044)959-6020,,(044)959-6021,,,,"215-0005",,社会福祉法人　一廣会,,,,,https://www.city.kawasaki.jp/350/page/0000021790.html,,,
141305,1.41305E+11,神奈川県川崎市,境町フェニックス,サカイチョウフェニックス,,特別養護老人ホーム,141313,,神奈川県川崎市川崎区境町11-9,神奈川県,川崎市,川崎区境町,,,35.524386,139.709488,,,(044)222-3800,,(044)222-3900,,,,"210-0838",,社会福祉法人　同塵会,,,,120,,,,
141305,1.41305E+11,神奈川県川崎市,ゆとりあ,ユトリア,,特別養護老人ホーム,141313,,神奈川県川崎市川崎区殿町1-11-10,神奈川県,川崎市,川崎区殿町,,,35.540145,139.743692,,,"(044)277-1165",,(044)277-1164,,,,"210-0821",,社会福祉法人　川崎大師福祉会,,,,108,,,,
141305,1.41305E+11,神奈川県川崎市,大師の里,ダイシノサト,,特別養護老人ホーム,141313,,"神奈川県川崎市川崎区日ノ出2-7-1",神奈川県,川崎市,川崎区日ノ出,,,35.530372,139.742972,,,"(044)266-1191",,(044)266-1198,,,,210-0824　,,社会福祉法人　馬島福祉会,,,,50,,,,
141305,1.41305E+11,神奈川県川崎市,しおん,シオン,,特別養護老人ホーム,141313,,"神奈川県川崎市川崎区本町1-1-1",神奈川県,川崎市,川崎区本町,,,35.533211,139.701746,,,(044)222-7761,,(044)222-7796,,,,"210-0001",,社会福祉法人　ハートフル記念会,,,,48,,,,
141305,1.41305E+11,神奈川県川崎市,ビオラ川崎,ビオラカワサキ,,特別養護老人ホーム,141313,,"神奈川県川崎市川崎区小田栄2-1-7",神奈川県,川崎市,川崎区小田栄,,,35.51238,139.709809,,,(044)333-0001,,(044)333-0036,,,,"210-0843",,社会福祉法人　中川徳生会,,,,150,,,,
141305,1.41305E+11,神奈川県川崎市,桜寿園,サクラコトブキエン,,特別養護老人ホーム,141313,,"神奈川県川崎市川崎区桜本2-39-4",神奈川県,川崎市,川崎区桜本,,,35.521059,139.726555,,,(044)287-2566,,(044)287-2577,,,,210-0833　,,社会福祉法人セイワ,,,,78,,,,
141305,1.41305E+11,神奈川県川崎市,恒春園,コウシュンエン,,特別養護老人ホーム,141313,,"神奈川県川崎市川崎区小川町10-10",神奈川県,川崎市,川崎区小川町,,,35.526494,139.696395,,,(044)211-1177,,(044)211-8922,,,,210-0023　,,社会福祉法人　馬島福祉会,,,,60,,,,
141305,1.41305E+11,神奈川県川崎市,川崎ラシクル,カワサキラシクル,,特別養護老人ホーム,141313,,神奈川県川崎市川崎区日進町5-1,神奈川県,川崎市,川崎区日進町,,,35.525945,139.692886,,,(044)589-3880,,(044)589-3890,,,,210-0024,,社会福祉法人　三篠会,,,,100,,,,
141305,1.41305E+11,神奈川県川崎市,しゃんぐりら,シャングリラ,,特別養護老人ホーム,141321,,"神奈川県川崎市幸区東小倉6-1",神奈川県,川崎市,幸区東小倉,,,35.546586,139.676608,,,(044)520-3860,,(044)520-3861,,,,212-0054　,,社会福祉法人　ハートフル記念会,,,,220,,,,
141305,1.41305E+11,神奈川県川崎市,南さいわい,ミナミサイワイ,,特別養護老人ホーム,141321,,神奈川県川崎市川崎市幸区南幸町3-149-3　,神奈川県,川崎市,川崎市幸区南幸町,,,35.534926,139.686869,,,(044)542-3695,,(044)555-6233,,,,212-0016　,,社会福祉法人　三篠会,,,,142,,,,
141305,1.41305E+11,神奈川県川崎市,クロスハート幸・川崎,クロスハートサイワイカワサキ,,特別養護老人ホーム,141321,,神奈川県川崎市川崎市幸区河原町1-37　,神奈川県,川崎市,川崎市幸区河原町,,,35.539621,139.692959,,,(044)533-9400,,(044)533-9401,,,,212-0007　,,社会福祉法人　伸こう福祉会,,,,140,,,,
141305,1.41305E+11,神奈川県川崎市,こむかい,コムカイ,,特別養護老人ホーム,141321,,神奈川県川崎市川崎市幸区小向仲野町1-3　,神奈川県,川崎市,川崎市幸区小向仲野町,,,35.550224,139.694078,,,(044)540-0170,,(044)540-0177,,,,212-0002　,,社会福祉法人　三篠会,,,,29,,,,
141305,1.41305E+11,神奈川県川崎市,幸風苑,コウカゼソノ,,特別養護老人ホーム,141321,,"神奈川県川崎市幸区都町64-1",神奈川県,川崎市,幸区都町,,,35.536577,139.687242,,,(044)511-3141,,(044)511-3145,,,,212-0021　,,社会福祉法人　セイワ,,,,60,,,,
141305,1.41305E+11,神奈川県川崎市,みんなと暮らす町,ミンナトクラスマチ,,特別養護老人ホーム,141321,,神奈川県川崎市幸区東古市場116-12,神奈川県,川崎市,幸区東古市場,,,35.551503,139.688335,,,(044)520-1901,,(044)520-1906,,,,"212-0051",,社会福祉法人　照陽会,,,,120,,,,
141305,1.41305E+11,神奈川県川崎市,夢見ケ崎,ユメミガサキ,,特別養護老人ホーム,141321,,"神奈川県川崎市幸区南加瀬1-7-14",神奈川県,川崎市,幸区南加瀬,,,35.546889,139.667784,,,(044)587-1651,,(044)587-1653,,,,212-0055　,,社会福祉法人　和楽会,,,,74,,,,
